str,en_US,ar_DZ,de_DE,ru_RU,es_ES,fr_FR,it_IT,ja_JP,ko_KR,nl_NL,pt_PT,zh_CN,zh_TW,hi_IN,sv_SE,cs_CZ,fi_FI,pl_PL,tr_TR,vi_VN,uk_UA,ro_RO,hu_HU,el_GR,da_DK,he_IL,nb_NO,id_ID,sk_SK,th_TH,sl_SI,lt_LT,lv_LV,et_EE,fa_IR,bg_BG,sr_RS,hr_HR,sw_KE
login.error.failed_sending_password_reset_email,Failed to send password reset email,فشل في إرسال البريد الإلكتروني لإعادة تعيين كلمة المرور,Versäumnis beim Senden von Passwort Reset -E -Mail,Не удалось отправить почтовую электронную почту сброса пароля,No se pudo enviar el correo electrónico de restablecimiento de contraseña,Échec de l'envoi de réinitialisation du mot de passe e-mail,Impossibile inviare e -mail di reimpostazione della password,パスワードリセットメールの送信に失敗しました,비밀번호 재설정 이메일을 보내지 못했습니다,Kan geen wachtwoordreset e -mail verzenden,Falha ao enviar e -mail de redefinição de senha,无法发送密码重置电子邮件,無法發送密碼重置電子郵件,पासवर्ड रीसेट ईमेल भेजने में विफल,Det gick inte att skicka lösenordsåterställning e -post,Nepodařilo se odeslat e -mail s resetováním hesla,Salasanan palautusviestin lähettäminen epäonnistui,Nie udało się wysłać e -maila resetowania hasła,Şifre sıfırlama e -postası gönderilemedi,Không gửi email đặt lại mật khẩu,Не вдалося надіслати електронну пошту скидання пароля,Nu a reușit să trimită e -mail de resetare a parolei,Nem sikerült elküldeni a jelszó -visszaállítás e -mailt,Αποτυχία αποστολής email Επαναφορά κωδικού πρόσβασης,Kunne ikke sende e -mail til nulstilling af adgangskode,נכשל לשלוח איפוס לאיפוס סיסמה,Kunne ikke sende tilbakestilling av passord for tilbakestilling av passord,Gagal mengirim email reset kata sandi,Nepodarilo sa vám odoslať e -mail s resetom hesla,ส่งอีเมลรีเซ็ตรหัสผ่านไม่ได้,Ni uspelo poslati e -pošte za ponastavitev gesla,Nepavyko išsiųsti slaptažodžio nustatymo el. Pašto adreso,Neizdevās nosūtīt paroles atiestatīšanas e -pastu,Parooli lähtestamise e -posti saatmine ebaõnnestus,ارسال ایمیل تنظیم مجدد رمز عبور انجام نشد,Неуспешно изпращане на имейл за нулиране на парола,Није успело да се пошаљете е-пошту за ресетовање лозинке,Nije uspio slati e -poštu za resetiranje lozinke,Imeshindwa kutuma barua pepe ya kuweka upya nywila
login.forgot_password,Forgot password?,هل نسيت كلمة السر؟,Passwort vergessen?,Забыли пароль?,¿Has olvidado tu contraseña?,Mot de passe oublié?,Ha dimenticato la password?,パスワードをお忘れですか？,비밀번호를 잊으 셨나요?,Wachtwoord vergeten?,Esqueceu sua senha?,忘记密码？,忘記密碼？,पासवर्ड भूल गए?,Glömt ditt lösenord?,Zapomenuté heslo?,Unohtuiko salasana?,Zapomniałeś hasła?,Parolanızı mı unuttunuz?,Quên mật khẩu?,Забули пароль?,Aţi uitat parola?,Elfelejtette a jelszót?,Ξεχάσατε τον κωδικό?,glemt kodeord?,שכחת את הסיסמא?,Glemt passord?,Tidak ingat kata sandi?,zabudol si heslo?,ลืมรหัสผ่าน?,Ste pozabili geslo?,Pamiršote slaptažodį?,Aizmirsi paroli?,Unustasid parooli?,رمز ورود را فراموش کرده اید؟,Забравена парола?,Заборавили сте лозинку?,Zaboravili ste lozinku?,Umesahau nywila?
login.page_name,Login,تسجيل الدخول,Anmeldung,Авторизоваться,Acceso,Se connecter,Login,ログイン,로그인,Log in,Conecte-se,登录,登錄,लॉग इन करें,Logga in,Přihlásit se,Kirjaudu sisään,Zaloguj sie,Giriş yapmak,Đăng nhập,Вхід,Log in,Belépés,Σύνδεση,Log på,התחברות,Logg Inn,Gabung,Prihlásiť sa,เข้าสู่ระบบ,Vpiši se,Prisijungti,Pieslēgties,Logi sisse,وارد شدن,Влизам,Пријавите се,Prijaviti se,Ingia
login.password_reset,Password reset,إعادة تعيين كلمة المرور,Passwort zurücksetzen,Восстановление пароля,Restablecimiento de contraseña,Réinitialisation du mot de passe,Reimpostazione della password,パスワードのリセット,비밀번호 초기화,Wachtwoord reset,Redefinição de senha,重设密码,重設密碼,पासवर्ड रीसेट,Lösenordsåterställning,Resetovat heslo,Salasanan nollaus,Resetowania hasła,Parola sıfırlama,Đặt lại mật khẩu,Скидання пароля,Resetare parola,Jelszó visszaállítása,ΕΠΑΝΑΦΟΡΑ ΚΩΔΙΚΟΥ,Nulstil kodeord,איפוס סיסמא,Reset passord,Reset Kata Sandi,Resetovanie hesla,รีเซ็ตรหัสผ่าน,Resetiranje gesla,Slaptažodžio nustatymas iš naujo,Paroles atiestatīšana,Parooli lähtestamine,تنظیم مجدد رمز عبور,Нулиране на паролата,Ресетовање лозинке,Resetiranje lozinke,Kuweka upya nywila
login.send_password_reset_email,Send password reset email,إرسال كلمة المرور إعادة تعيين البريد الإلكتروني,E -Mails zurücksetzen Passwort zurücksetzen,Отправить почтовую электронную почту сброса пароля,Enviar el correo electrónico de restablecimiento de contraseña,Envoyer un e-mail de réinitialisation du mot de passe,Invia e -mail di reimpostazione della password,パスワードリセットメールを送信します,비밀번호 재설정 이메일을 보내십시오,Stuur wachtwoord opnieuw instellen e -mail,Enviar e -mail de redefinição de senha,发送密码重置电子邮件,發送密碼重置電子郵件,पासवर्ड रीसेट ईमेल भेजें,Skicka lösenordsåterställning e -post,Odeslat e -mail s resetováním hesla,Lähetä salasanan palautus sähköposti,Wyślij e -mail do resetowania hasła,Parola Sıfırla E -postayı Gönderin,Gửi email đặt lại mật khẩu,Надіслати електронну пошту скидання пароля,Trimiteți email de resetare a parolei,Jelszó -visszaállítás e -mail küldése,Αποστολή email επαναφοράς κωδικού πρόσβασης,Send e -mail til nulstilling af adgangskode,שלח איפוס לאיפוס סיסמה,Send tilbakestilling av passord,Kirim Email Reset Kata Sandi,Pošlite e -mail s resetom hesla,ส่งอีเมลรีเซ็ตรหัสผ่าน,Pošljite e -pošto Ponastavite geslo,Siųsti slaptažodžio nustatymo el. Paštą,Nosūtiet paroles atiestatīšanas e -pastu,Saada parooli lähtestamise e -post,ارسال ایمیل تنظیم مجدد رمز عبور,Изпратете имейл за нулиране на парола,Пошаљите е-пошту за ресетовање лозинке,Pošaljite e -poštu za resetiranje lozinke,Tuma barua pepe ya kuweka upya nywila
logout,Logout,تسجيل خروج,Ausloggen,Выйти,Cerrar sesión,Se déconnecter,Disconnettersi,ログアウト,로그 아웃,Uitloggen,Sair,登出,登出,लॉग आउट,Logga ut,Odhlásit se,Kirjautua ulos,Wyloguj,Çıkış Yap,Đăng xuất,Вийти,Deconectare,Kijelentkezés,Αποσύνδεση,Log ud,להתנתק,Logg ut,Keluar,Odhlásiť sa,ออกจากระบบ,Odjava,Atsijungti,Izlogoties,Logi välja,خروج,Излез от профила си,Одјавити се,Odjavite se,Kuingia
profile.page_name,Profile,حساب تعريفي,Profil,Профиль,Perfil,Profil,Profilo,プロフィール,프로필,Profiel,Perfil,轮廓,輪廓,प्रोफ़ाइल,Profil,Profil,Profiili,Profil,Profil,Hồ sơ,Профіл,Profil,Profil,Προφίλ,Profil,פּרוֹפִיל,Profil,Profil,Profil,ประวัติโดยย่อ,Profil,Profilis,Profils,Profiil,مشخصات,Профил,Профил,Profil,Wasifu
questions.page_name,Questions,أسئلة,Fragen,Вопросы,Preguntas,Des questions,Domande,質問,질문,Vragen,Questões,问题,問題,प्रशन,Frågor,Otázky,Kysymykset,pytania,Soru,Câu hỏi,Питання,Întrebări,Kérdés,Ερωτήσεις,Spørgsmål,שאלות,Spørsmål,Pertanyaan,Otázky,คำถาม,Vprašanja,Klausimai,Jautājumi,Küsimused,پرسش,Въпроси,Питања,Pitanja,Maswali
signup.confirm_password,Confirm password,تأكيد كلمة المرور,Bestätige das Passwort,Подтвердите пароль,Confirmar Contraseña,Confirmez le mot de passe,Conferma password,パスワードを認証する,비밀번호 확인,Bevestig wachtwoord,Confirme sua senha,确认密码,確認密碼,पासवर्ड की पुष्टि कीजिये,Bekräfta lösenord,Potvrďte heslo,Vahvista salasana,Potwierdź hasło,Şifreyi Onayla,Xác nhận mật khẩu,Підтвердити пароль,Confirmă parola,Jelszó megerősítése,Επιβεβαίωση Κωδικού,Bekræft kodeord,אשר סיסמה,Bekreft passord,Konfirmasi sandi,Potvrďte heslo,ยืนยันรหัสผ่าน,Potrdi geslo,Patvirtinti slaptažodį,Apstipriniet paroli,Kinnita salasõna,تأیید رمز عبور,Потвърди парола,Потврди лозинку,Potvrdi lozinku,Thibitisha nywila
signup.error.password_cannot_be_empty,Password cannot be empty,لا يمكن أن تكون كلمة المرور فارغة,Passwort kann nicht leer sein,Пароль не может быть пустым,La contraseña no puede estar vacía,Le mot de passe ne peut pas être vide,La password non può essere vuota,パスワードを空にすることはできません,비밀번호는 비어있을 수 없습니다,Wachtwoord kan niet leeg zijn,A senha não pode estar vazia,密码不能为空,密碼不能為空,पासवर्ड खाली नहीं हो सकता,Lösenordet kan inte vara tomt,Heslo nemůže být prázdné,Salasana ei voi olla tyhjä,Hasło nie może być puste,Parola boş olamaz,Mật khẩu không được để trống,Пароль не може бути порожнім,Parola nu poate fi goală,A jelszó nem lehet üres,Ο κωδικός πρόσβασης δεν μπορεί να είναι άδειος,Adgangskode kan ikke være tom,הסיסמה לא יכולה להיות ריקה,Passordet kan ikke være tomt,Kata sandi tidak bisa kosong,Heslo nemôže byť prázdne,รหัสผ่านไม่ได้ว่างเปล่า,Geslo ne more biti prazno,Slaptažodis negali būti tuščias,Parole nevar būt tukša,Parool ei saa olla tühi,رمز عبور نمی تواند خالی باشد,Паролата не може да бъде празна,Лозинка не може бити празна,Lozinka ne može biti prazna,Nenosiri haliwezi kuwa tupu
signup.error.password_must_be_at_least_x_len,Password must be at least {} characters long,يجب أن تكون كلمة المرور على الأقل {} أحرف طويلة,Das Passwort muss mindestens {} Zeichen lang sein,Пароль должен быть не менее {} символы длинными,La contraseña debe ser al menos {} caracteres de largo,Le mot de passe doit être au moins {} caractères,La password deve essere lunga almeno {} caratteri,パスワードは、少なくとも{}文字の長さでなければなりません,비밀번호는 {} 문자 길이가 적어야합니다,Wachtwoord moet op zijn minst {} tekens zijn,A senha deve ter pelo menos {} caracteres,密码必须至少{}字符长,密碼必須至少{}字符長,पासवर्ड कम से कम {} अक्षर लंबा होना चाहिए,Lösenordet måste vara minst {} tecken långt,Heslo musí být alespoň {} znaky dlouhé,Salasanan on oltava vähintään {} merkkejä pitkä,Hasło musi mieć co najmniej {} znaki,Parola en az {} karakterler uzunluğunda olmalıdır,Mật khẩu phải dài nhất {} ký tự dài,Пароль повинен бути щонайменше {} символів,Parola trebuie să fie cel puțin {} caractere lungi,A jelszónak legalább {} karaktereknek kell lennie,Ο κωδικός πρόσβασης πρέπει να έχει τουλάχιστον {} χαρακτήρες,Adgangskode skal være mindst {} tegn lange,הסיסמה חייבת להיות לפחות {} תווים,Passordet må være minst {} tegn,Kata sandi harus setidaknya {} karakter,Heslo musí byť najmenej {} znaky dlhé,รหัสผ่านต้องมีความยาวอย่างน้อย {} อักขระ,Geslo mora biti vsaj {} dolge znake,Slaptažodis turi būti bent {} simbolių ilgio,Parolei jābūt vismaz {} rakstzīmēm garas,Parool peab olema vähemalt {} tähemärgid pikad,گذرواژه باید حداقل {} شخصیت ها طولانی باشد,Паролата трябва да е поне {} знаци,Лозинка мора бити најмање {} знакова дуго,Lozinka mora biti najmanje {} dugačka znakova,Nenosiri lazima liwe angalau {} herufi ndefu
signup.error.passwords_must_be_equal,Must be equal to password,يجب أن تكون مساوية لكلمة المرور,Muss mit dem Passwort übereinstimmen,Должен быть равен паролю,Debe ser igual a la contraseña,Doit être égal à Mot de passe,Deve essere uguale alla password,パスワードに等しくなければなりません,패스워드와 같아야합니다,Moet gelijk zijn aan het wachtwoord,Deve ser igual à senha,必须跟密码相同,必須跟密碼相同,पासवर्ड के बराबर होना चाहिए,Måste vara samma som lösenordet,Musí se shodovat s Heslem,On oltava yhtä suuri kuin salasana,Musi być równe hasłem,Şifreye eşit olmalı,Phải giống với mật khẩu,Повинен співпадати з паролем,Trebuie să fie egal cu parola,A Jelszóval kell megfeleljen,Πρέπει να είναι ίσος με τον κωδικό πρόσβασης,Skal være lig med adgangskoden,חייב להיות זהה לסיסמה,Må være lik passord,Harus sama dengan kata sandi,Musí sa rovnať heslu,ต้องเท่ากับรหัสผ่าน,Mora biti enako geslo,Turi sutapti su slaptažodžiu,Jābūt vienādam ar paroli,Peab olema võrdne parooliga,باید برابر با رمز باشد,Трябва да съвпада с паролата,Мора да буде идентичан лозинки,Mora biti jednak lozinki,Lazima iwe sawa na nywila
signup.error.signup_failed,Sign up failed,فشل انشاء الحساب,Anmeldung gescheitert,Регистрация прошла неудачно,Registro fallido,L'inscription a échoué,Accesso fallito,サインアップに失敗しました,가입 실패,Registratie mislukt,Inscreva -se falhou,注册失败,註冊失敗,साइन अप करने में विफल रहा,Registrering misslyckades,Přihlašení se nezdařilo,Rekisteröityminen epäonnistui,Zarejestruj się nie powiodło się,Kayıt başarısız oldu,Đăng ky thât bại,Зареєструватися не вдалося,Inregistrarea a esuat,Feliratkozás sikertelen,Η εγγραφή απέτυχε,Tilmelding mislykkedes,ההרשמה נכשלה,Registrering mislyktes,Pendaftaran gagal,Registrácia zlyhala,ลงทะเบียนล้มเหลว,Prijava ni uspela,Registracija nepavyko,Reģistrēties neizdevās,Registreerimine ebaõnnestus,ثبت نام ناموفق بود,Регистрирайте се неуспешно,Пријавите се није успело,Prijava neuspješna,Jisajili ilishindwa
signup.page_name,Sign up,اشتراك,Melden Sie sich an,Зарегистрироваться,Inscribirse,S'inscrire,Iscrizione,サインアップ,가입하기,Aanmelden,Inscrever-se,报名,報名,साइन अप करें,Bli Medlem,Přihlásit se,Kirjaudu,Zapisać się,Üye olmak,Đăng ký,Зареєструватися,Inscrie-te,Regisztrálj,Εγγραφείτε,Tilmelde,הירשם,Melde deg på,Mendaftar,Prihlásiť Se,ลงชื่อ,Prijavite se,Registruotis,Pierakstīties,Registreeri,ثبت نام,Регистрирай се,Пријави се,Prijaviti se,Jisajili
invitation.accept_manually,Accept an invitation,اقبل دعوة,Eine Einladung annehmen,Принять приглашение,Acepta una invitación,Accepter une invitation,Accetta un invito,招待状を受け入れます,초대장을 수락하십시오,Accepteer een uitnodiging,Aceitar um convite,接受邀请,接受邀請,निमंत्रण स्वीकार करें,Acceptera en inbjudan,Přijmout pozvání,Hyväksyä kutsu,Akceptować zaproszenie,Daveti kabul etmek,Chấp nhận một lời mời,Прийняти запрошення,Acceptați o invitație,Fogadjon el egy meghívót,Αποδεχτείτε μια πρόσκληση,Accepter en invitation,לקבל הזמנה,Godta en invitasjon,Menerima undangan,Prijať pozvanie,ยอมรับคำเชิญ,Sprejmite povabilo,Priimti kvietimą,Pieņemt ielūgumu,Kutset aktsepteerima,اجابت دعوت,Приемете покана,Прихватити позивницу,Prihvatiti poziv,Kubali mwaliko
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
